# Bond angle distribution (100 data points):
# Angle Count
0.9 0 
2.7 0 
4.5 0 
6.3 0 
8.1 0 
9.9 0 
11.7 0 
13.5 0 
15.3 0 
17.1 0 
18.9 0 
20.7 0 
22.5 0 
24.3 0 
26.1 0 
27.9 0 
29.7 0 
31.5 0 
33.3 0 
35.1 0 
36.9 0 
38.7 0 
40.5 0 
42.3 2 
44.1 5 
45.9 9 
47.7 1 
49.5 1 
51.3 8 
53.1 15 
54.9 35 
56.7 37 
58.5 32 
60.3 33 
62.1 33 
63.9 39 
65.7 104 
67.5 265 
69.3 529 
71.1 599 
72.9 403 
74.7 189 
76.5 100 
78.3 52 
80.1 34 
81.9 32 
83.7 24 
85.5 23 
87.3 17 
89.1 24 
90.9 18 
92.7 17 
94.5 25 
96.3 26 
98.1 48 
99.9 49 
101.7 90 
103.5 121 
105.3 202 
107.1 273 
108.9 259 
110.7 190 
112.5 165 
114.3 175 
116.1 125 
117.9 75 
119.7 62 
121.5 39 
123.3 25 
125.1 37 
126.9 41 
128.7 29 
130.5 26 
132.3 18 
134.1 14 
135.9 9 
137.7 13 
139.5 12 
141.3 6 
143.1 5 
144.9 7 
146.7 3 
148.5 5 
150.3 12 
152.1 9 
153.9 9 
155.7 9 
157.5 11 
159.3 11 
161.1 11 
162.9 17 
164.7 18 
166.5 14 
168.3 31 
170.1 56 
171.9 84 
173.7 113 
175.5 72 
177.3 25 
179.1 1 
